iter	RMSE
0	76844.88342
1	74454.53274
2	72350.32891
3	70148.7299
4	67984.0941
5	65969.33355
6	63971.36287
7	62088.01434
8	60376.83451
9	58777.35674
10	57043.48395
11	55559.22036
12	54248.92843
13	52886.2421
14	51596.35417
15	50272.95324
16	49058.8168
17	47901.86806
18	46728.22954
19	45660.58773
20	44698.25213
21	43715.11637
22	42868.95965
23	42003.25332
24	41249.12283
25	40398.55028
26	39730.08091
27	38973.71705
28	38351.30247
29	37685.58125
30	37050.03616
31	36513.58867
32	35933.58106
33	35351.8011
34	34815.53892
35	34285.46619
36	33692.76603
37	33129.84879
38	32667.68729
39	32299.31852
40	31856.77752
41	31461.15953
42	31102.16827
43	30690.3927
44	30384.0695
45	30055.14036
46	29680.32853
47	29358.53578
48	29021.26059
49	28698.76889
50	28476.33313
51	28203.35914
52	27889.98438
53	27661.39999
54	27374.79676
55	27134.00231
56	26959.66872
57	26706.19535
58	26433.58739
59	26133.201
60	25921.86344
61	25736.60996
62	25525.50337
63	25352.506
64	25250.53136
65	25042.45404
66	24822.12468
67	24660.59373
68	24477.99194
69	24344.91553
70	24211.89097
71	24079.10737
72	23874.12039
73	23792.31
74	23631.81929
75	23510.26218
76	23313.72974
77	23208.51586
78	23114.47952
79	23019.2568
80	22852.96596
81	22732.16334
82	22656.7916
83	22528.62049
84	22407.01239
85	22265.26779
86	22162.64478
87	22072.52426
88	21968.43073
89	21822.86279
90	21709.57468
91	21580.60765
92	21478.13441
93	21342.44614
94	21270.13873
95	21173.38277
96	21060.25426
97	20952.74676
98	20876.05274
99	20830.46862
100	20774.80699
101	20692.23211
102	20590.84394
103	20504.20642
104	20409.14635
105	20335.76235
106	20254.87071
107	20233.25914
108	20183.59565
109	20116.16416
110	20074.62256
111	20002.00549
112	19947.308
113	19877.45507
114	19801.34234
115	19720.40181
116	19658.29317
117	19571.39732
118	19489.01402
119	19425.91473
120	19327.16889
121	19308.84297
122	19237.92614
123	19186.35171
124	19154.92298
125	19105.59822
126	19052.0785
127	19033.62491
128	18999.36402
129	18944.17741
130	18868.06293
131	18815.10394
132	18773.09677
133	18719.7949
134	18662.83273
135	18594.38942
136	18543.92795
137	18531.81057
138	18476.36058
139	18440.41807
140	18393.111
141	18364.69092
142	18338.12308
143	18320.56713
144	18265.32819
