iter	Passed	Remaining
0	224	224170
1	258	129164
2	294	97931
3	330	82293
4	366	73012
5	403	66856
6	441	62571
7	477	59217
8	515	56716
9	552	54689
10	589	52957
11	623	51333
12	658	49965
13	692	48795
14	725	47641
15	759	46704
16	795	45971
17	830	45312
18	863	44600
19	897	43995
20	931	43413
21	964	42871
22	998	42420
23	1032	41989
24	1067	41615
25	1101	41275
26	1134	40896
27	1169	40595
28	1201	40242
29	1234	39914
30	1267	39604
31	1301	39364
32	1334	39091
33	1365	38808
34	1398	38546
35	1429	38285
36	1463	38080
37	1495	37850
38	1528	37665
39	1563	37526
40	1596	37349
41	1632	37234
42	1671	37200
43	1704	37044
44	1738	36901
45	1771	36746
46	1805	36605
47	1839	36478
48	1876	36411
49	1910	36301
50	1944	36180
51	1979	36087
52	2014	35991
53	2047	35866
54	2082	35780
55	2115	35663
56	2149	35563
57	2185	35492
58	2218	35380
59	2250	35260
60	2282	35141
61	2318	35069
62	2351	34968
63	2387	34917
64	2421	34828
65	2459	34803
66	2495	34751
67	2527	34640
68	2562	34570
69	2595	34483
70	2630	34422
71	2667	34380
72	2701	34308
73	2737	34250
74	2772	34196
75	2808	34149
76	2843	34090
77	2881	34064
78	2917	34009
79	2951	33947
80	2985	33872
81	3019	33808
82	3053	33731
83	3087	33667
84	3120	33586
85	3153	33513
86	3187	33451
87	3220	33370
88	3257	33341
89	3295	33324
90	3330	33272
91	3363	33200
92	3400	33166
93	3434	33102
94	3466	33027
95	3500	32964
96	3533	32898
97	3570	32861
98	3603	32792
99	3637	32736
100	3673	32694
101	3709	32661
102	3745	32620
103	3779	32558
104	3814	32510
105	3849	32463
106	3883	32409
107	3917	32356
108	3949	32287
109	3984	32239
110	4017	32176
111	4051	32124
112	4087	32081
113	4119	32016
114	4152	31953
115	4185	31899
116	4224	31879
117	4256	31819
118	4289	31759
119	4323	31703
120	4357	31657
121	4394	31623
122	4428	31578
123	4465	31549
124	4502	31515
125	4536	31470
126	4572	31431
127	4609	31400
128	4644	31358
129	4680	31320
130	4714	31271
131	4749	31232
132	4783	31180
133	4819	31147
134	4854	31106
135	4892	31080
136	4928	31045
137	4942	30875
138	4975	30818
139	5007	30762
140	5041	30712
141	5074	30663
142	5108	30617
143	5143	30574
144	5177	30526
145	5212	30492
146	5245	30437
147	5279	30391
148	5317	30369
149	5354	30344
150	5389	30302
151	5425	30268
152	5458	30218
153	5492	30173
154	5525	30122
155	5560	30085
156	5595	30046
157	5631	30009
158	5669	29988
159	5705	29952
160	5740	29913
161	5774	29870
162	5810	29835
163	5845	29795
164	5881	29765
165	5916	29722
166	5949	29676
167	5983	29633
168	6015	29578
169	6050	29538
170	6102	29584
171	6171	29709
172	6217	29720
173	6263	29734
174	6317	29783
175	6357	29763
176	6399	29756
177	6451	29790
178	6516	29887
179	6578	29966
180	6640	30047
181	6681	30029
182	6721	30007
183	6761	29984
184	6806	29987
185	6845	29959
186	6890	29957
187	6930	29931
188	6971	29915
189	7044	30030
190	7116	30141
191	7185	30238
192	7245	30297
193	7308	30362
194	7369	30422
195	7405	30375
196	7439	30326
197	7473	30273
198	7511	30235
199	7537	30149
200	7571	30097
201	7605	30046
202	7639	29995
203	7677	29957
204	7713	29914
205	7750	29871
206	7788	29836
207	7826	29801
208	7862	29756
209	7899	29716
210	7938	29685
211	7975	29645
212	8016	29619
213	8055	29587
214	8091	29545
215	8131	29513
216	8170	29480
217	8211	29454
218	8245	29403
219	8282	29365
220	8320	29329
221	8339	29227
222	8399	29265
223	8474	29356
224	8560	29487
225	8648	29617
226	8691	29596
227	8727	29551
228	8762	29502
229	8800	29463
230	8836	29416
231	8872	29371
232	8891	29269
233	8928	29226
234	8962	29176
235	8999	29134
236	9035	29088
237	9073	29051
238	9110	29008
239	9145	28959
240	9182	28918
241	9218	28873
242	9253	28828
243	9291	28788
244	9329	28749
245	9367	28713
246	9403	28666
247	9438	28620
248	9477	28586
249	9514	28542
250	9535	28453
251	9569	28403
252	9605	28360
253	9642	28318
254	9678	28277
255	9715	28236
256	9753	28197
257	9788	28152
258	9809	28064
259	9846	28023
260	9867	27938
261	9904	27898
262	9944	27866
263	9981	27827
264	10021	27795
265	10057	27751
266	10075	27660
267	10092	27565
268	10125	27516
269	10163	27479
270	10203	27447
271	10241	27411
272	10282	27381
273	10318	27339
274	10356	27304
275	10395	27269
